1,49506,
2,49597,
3,50276,
4,50363,
5,50382,
6,50467,
7,50580,
8,50596,
9,50631,
10,50692,
11,50708,
12,50857,
13,50923,
14,50938,
15,51196,
16,51369,
17,51403,
18,51410,
19,51478,
20,51497,
21,51592,
22,51602,
23,51660,
24,51661,
25,51671,
26,51760,
27,51799,
28,51829,
29,51843,
30,51849,
31,51865,
32,51879,
33,51891,
34,51920,
35,51929,
36,51950,
37,51969,
38,52023,
39,52038,
40,52042,
41,52048,
42,52113,
43,52183,
44,52243,
45,52248,
46,52277,
47,52349,
48,52353,
49,52394,
50,52396,
51,52401,
52,52406,
53,52465,
54,52494,
55,52518,
56,52735,
57,52756,
58,52910,
59,52992,
60,52995,
61,53178,
62,53429,
63,53430,
64,53542,
65,53732,
66,54050,
67,54052,
68,54098,
69,54622,
70,54690,
71,54724,
72,54957,
73,55019,
74,55101,
75,55433,
76,55496,
77,55567,
78,55944,
79,56455,
80,56578,
81,56896,
82,56996,
83,57044,
84,58483,
85,60292,
86,60949,
87,60983,
88,61050,
89,61874,
90,61978,
91,62408,
92,62513,
93,62598,
94,62612,
95,63348,
96,63361,
97,63375,
98,63425,
99,63585,
100,63728,
