aaaaaaaaar
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrrg
gggggggggg
gggggggggg
gggggggggg
gggggggggg
ggggggggg00,55438,
11,55465,
22,53544,
33,49785,
44,48120,
00,61792,
11,55205,
22,49461,
33,53080,
44,48945,
00,59421,
11,52680,
22,53323,
33,54399,
44,51315,
00,56203,
11,55299,
22,48862,
33,50757,
44,49261,
00,60015,
11,55971,
22,56432,
33,55975,
44,47439,
00,54966,
11,53100,
22,49235,
33,46834,
44,46893,
00,61691,
11,59256,
22,55406,
33,53725,
44,51725,
00,58786,
11,54143,
22,51812,
33,48345,
44,45997,
00,56671,
11,52688,
22,46881,
33,51571,
44,45859,
00,60880,
11,53414,
22,54166,
33,55251,
44,52314,
00,60016,
11,51835,
22,49339,
33,44435,
44,46960,
00,59174,
11,53984,
22,50754,
33,53074,
44,46965,
00,56167,
11,57781,
22,55651,
33,54832,
44,45551,
00,56671,
11,56030,
22,51977,
33,45431,
44,46593,
00,57733,
11,56269,
22,51723,
33,46827,
44,45513,
00,56432,
11,45227,
22,45647,
33,46400,
44,41459,
00,58979,
11,57313,
22,50986,
33,47088,
44,45937,
00,57880,
11,53397,
22,50613,
33,42275,
44,44840,
00,58691,
11,55721,
22,54063,
33,50212,
44,49322,
00,56253,
11,52658,
22,51450,
33,53189,
44,45704,
00,57325,
11,54503,
22,53239,
33,50570,
44,45183,
00,56376,
11,46087,
22,49801,
33,45896,
44,46124,
00,54465,
11,54393,
22,50750,
33,47798,
44,45850,
00,58906,
11,54302,
22,48199,
33,46455,
44,47798,
00,58940,
11,56278,
22,48612,
33,48749,
44,48415,
00,59384,
11,52749,
22,51961,
33,51658,
44,45354,
00,59574,
11,50193,
22,52490,
33,50299,
44,49198,
00,59894,
11,56258,
22,51442,
33,49432,
44,43387,
00,57050,
11,53915,
22,52058,
33,50663,
44,47222,
00,63291,
11,52434,
22,52976,
33,46494,
44,47613,
00,55266,
11,54170,
22,50492,
33,47674,
44,43626,
00,57146,
11,54998,
22,49614,
33,52659,
44,44249,
00,59047,
11,54939,
22,51405,
33,44479,
44,43789,
00,58149,
11,55623,
22,54838,
33,51166,
44,51523,
00,54849,
11,54538,
22,51894,
33,48840,
44,45233,
00,60804,
11,54808,
22,50781,
33,46346,
44,45015,
00,60124,
11,50842,
22,53090,
33,52826,
44,46968,
00,62248,
11,54226,
22,52824,
33,49452,
44,47766,
00,58393,
11,56738,
22,53436,
33,46882,
44,47494,
00,62409,
11,60046,
22,53886,
33,50301,
44,50667,
00,57031,
11,52992,
22,52824,
33,45802,
44,48977,
00,56387,
11,55941,
22,53314,
33,51290,
44,48782,
00,58066,
11,54431,
22,49085,
33,49020,
44,48328,
00,60329,
11,56530,
22,53480,
33,47715,
44,46838,
00,59945,
11,52491,
22,51072,
33,44352,
44,45403,
00,58585,
11,52106,
22,54615,
33,49114,
44,48703,
00,55082,
11,54150,
22,54396,
33,47959,
44,51593,
00,55802,
11,52405,
22,55403,
33,54867,
44,52355,
00,63789,
11,52748,
22,53441,
33,54027,
44,46919,
00,58289,
11,55107,
22,49489,
33,53044,
44,44625,
00,59091,
11,49102,
22,45666,
33,44395,
44,46877,
00,55415,
11,48303,
22,51008,
33,41770,
44,41474,
00,57530,
11,53755,
22,51642,
33,50430,
44,50789,
00,53306,
11,49860,
22,50064,
33,51905,
44,46295,
00,55927,
11,52978,
22,53220,
33,48449,
44,49210,
00,55027,
11,51932,
22,49438,
33,49259,
44,43791,
00,55194,
11,51410,
22,48285,
33,43107,
44,45015,
00,54176,
11,51364,
22,45655,
33,46661,
44,46407,
00,54173,
11,50446,
22,50370,
33,46613,
44,43346,
00,49247,
11,51431,
22,49790,
33,48598,
44,46343,
00,54693,
11,55559,
22,54960,
33,51031,
44,49103,
00,52445,
11,46221,
22,51227,
33,46679,
44,40709,
00,52244,
11,54727,
22,52134,
33,50342,
44,51389,
00,58191,
11,54034,
22,51869,
33,49579,
44,45542,
00,57938,
11,51810,
22,53767,
33,45686,
44,47230,
00,60628,
11,55452,
22,49464,
33,45959,
44,43116,
00,52624,
11,54874,
22,53360,
33,50167,
44,46208,
00,53844,
11,59221,
22,53379,
33,48176,
44,49568,
00,53408,
11,52265,
22,46669,
33,50454,
44,47793,
00,54797,
11,54726,
22,49747,
33,48019,
44,44110,
00,56669,
11,53415,
22,42697,
33,47066,
44,44205,
00,56200,
11,51732,
22,51742,
33,50175,
44,45565,
00,58195,
11,51337,
22,50576,
33,45024,
44,43708,
00,53444,
11,55058,
22,48550,
33,47451,
44,48566,
00,56791,
11,54760,
22,48344,
33,48404,
44,50600,
00,51888,
11,52592,
22,48586,
33,49794,
44,43208,
00,53557,
11,52075,
22,48553,
33,48329,
44,48831,
00,56904,
11,55520,
22,49776,
33,42841,
44,44759,
00,53269,
11,54342,
22,48979,
33,46977,
44,45960,
00,54033,
11,48948,
22,49206,
33,49981,
44,47968,
00,55875,
11,47671,
22,47327,
33,45465,
44,48399,
00,52316,
11,47827,
22,46256,
33,44373,
44,45312,
00,54060,
11,51555,
22,45488,
33,47119,
44,41515,
00,58497,
11,56482,
22,47338,
33,47921,
44,47439,
00,55151,
11,55793,
22,51584,
33,49523,
44,49934,
00,58453,
11,55647,
22,49397,
33,45922,
44,45199,
00,56937,
11,54245,
22,56842,
33,51806,
44,50647,
00,54965,
11,59031,
22,49747,
33,47935,
44,43453,
00,52931,
11,48858,
22,54210,
33,50120,
44,50863,
00,54800,
11,52553,
22,47646,
33,50885,
44,45672,
00,52917,
11,54615,
22,48932,
33,52982,
44,46413,
00,58628,
11,53196,
22,51694,
33,53310,
44,52390,
00,52103,
11,47394,
22,51007,
33,46921,
44,40679,
00,54551,
11,48244,
22,47054,
33,44605,
44,47166,
00,55578,
11,50080,
22,44236,
33,45933,
44,43948,
00,55483,
11,57913,
22,52534,
33,50893,
44,47958,
00,53581,
11,53214,
22,46562,
33,44496,
44,45793,
00,57109,
11,56322,
22,55152,
33,53248,
44,44166,
00,55173,
11,54626,
22,47299,
33,40652,
44,39514,
00,55169,
11,52051,
22,53645,
33,49555,
44,50475,
generation : 1
r
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrr1,39514,
2,40679,
3,40709,
4,41459,
5,41474,
6,41515,
7,43116,
8,43208,
9,43346,
10,43387,
11,43453,
12,43617,
13,43626,
14,43708,
15,43789,
16,43791,
17,43948,
18,44110,
19,44166,
20,44205,
21,44249,
22,44584,
23,44625,
24,44759,
25,44840,
26,45015,
27,45015,
28,45183,
29,45199,
30,45218,
31,45233,
32,45312,
33,45354,
34,45403,
35,45513,
36,45542,
37,45551,
38,45565,
39,45672,
40,45704,
41,45793,
42,45850,
43,45859,
44,45937,
45,45960,
46,45997,
47,46124,
48,46208,
49,46260,
50,46295,
51,46311,
52,46343,
53,46407,
54,46413,
55,46416,
56,46593,
57,46773,
58,46920,
59,47104,
60,47587,
61,47765,
62,47769,
63,47946,
64,47953,
65,47969,
66,47979,
67,47985,
68,48083,
69,48156,
70,48198,
71,48353,
72,48428,
73,48547,
74,48609,
75,48713,
76,48972,
77,48984,
78,49027,
79,49037,
80,49478,
81,49487,
82,49498,
83,49576,
84,49656,
85,49672,
86,49820,
87,49967,
88,50224,
89,50234,
90,50286,
91,50287,
92,50333,
93,50805,
94,50865,
95,51314,
96,51613,
97,51823,
98,52085,
99,52237,
100,52444,
===
generation : 2
r
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrr1,39514,
2,40679,
3,40709,
4,41459,
5,41474,
6,41515,
7,43116,
8,43192,
9,43208,
10,43346,
11,43387,
12,43453,
13,43617,
14,43626,
15,43708,
16,43789,
17,43791,
18,43798,
19,43948,
20,44110,
21,44141,
22,44166,
23,44205,
24,44249,
25,44573,
26,44584,
27,44625,
28,44647,
29,44759,
30,44840,
31,45015,
32,45015,
33,45183,
34,45199,
35,45218,
36,45233,
37,45312,
38,45354,
39,45375,
40,45403,
41,45513,
42,45542,
43,45551,
44,45565,
45,45672,
46,45704,
47,45793,
48,45850,
49,45859,
50,45937,
51,45960,
52,45997,
53,46124,
54,46208,
55,46260,
56,46295,
57,46570,
58,46721,
59,46903,
60,47066,
61,47077,
62,47316,
63,47391,
64,47693,
65,47796,
66,47826,
67,47880,
68,48032,
69,48069,
70,48203,
71,48409,
72,48651,
73,48849,
74,48964,
75,48967,
76,49139,
77,49215,
78,49232,
79,49288,
80,49435,
81,49438,
82,49507,
83,49525,
84,49530,
85,49552,
86,49637,
87,49772,
88,50053,
89,50096,
90,50167,
91,50192,
92,50287,
93,50338,
94,50646,
95,50910,
96,51293,
97,51403,
98,51669,
99,52130,
100,53400,
===
generation : 3
r
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrr1,39514,
2,40679,
3,40709,
4,41459,
5,41474,
6,41515,
7,43116,
8,43117,
9,43192,
10,43208,
11,43346,
12,43387,
13,43453,
14,43617,
15,43626,
16,43708,
17,43780,
18,43789,
19,43791,
20,43798,
21,43923,
22,43948,
23,44110,
24,44116,
25,44141,
26,44166,
27,44205,
28,44249,
29,44367,
30,44454,
31,44573,
32,44584,
33,44625,
34,44647,
35,44677,
36,44744,
37,44759,
38,44795,
39,44840,
40,45015,
41,45015,
42,45183,
43,45199,
44,45218,
45,45233,
46,45312,
47,45354,
48,45375,
49,45403,
50,45440,
51,45513,
52,45542,
53,45551,
54,45565,
55,45672,
56,45699,
57,45704,
58,45793,
59,45850,
60,45859,
61,45937,
62,46463,
63,46855,
64,46914,
65,47149,
66,47188,
67,47326,
68,47380,
69,47590,
70,47625,
71,47809,
72,47899,
73,48030,
74,48118,
75,48351,
76,48375,
77,48398,
78,48448,
79,48610,
80,48628,
81,48814,
82,48888,
83,49189,
84,49507,
85,49551,
86,49588,
87,49680,
88,49814,
89,49887,
90,49913,
91,50222,
92,50393,
93,50526,
94,50812,
95,50842,
96,50910,
97,52126,
98,52202,
99,52209,
100,52850,
===
generation : 4
r
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrr1,39514,
2,40679,
3,40709,
4,41459,
5,41474,
6,41515,
7,43057,
8,43116,
9,43117,
10,43192,
11,43208,
12,43346,
13,43387,
14,43453,
15,43572,
16,43617,
17,43626,
18,43708,
19,43764,
20,43780,
21,43789,
22,43791,
23,43798,
24,43803,
25,43923,
26,43948,
27,44110,
28,44116,
29,44141,
30,44166,
31,44205,
32,44210,
33,44249,
34,44263,
35,44367,
36,44431,
37,44454,
38,44573,
39,44584,
40,44625,
41,44647,
42,44677,
43,44744,
44,44753,
45,44759,
46,44795,
47,44840,
48,45015,
49,45015,
50,45026,
51,45180,
52,45183,
53,45199,
54,45218,
55,45233,
56,45312,
57,45354,
58,45375,
59,45403,
60,45440,
61,45456,
62,45458,
63,45754,
64,45759,
65,45885,
66,46034,
67,46050,
68,46088,
69,46148,
70,46173,
71,46466,
72,46709,
73,47196,
74,47671,
75,47826,
76,47890,
77,48132,
78,48285,
79,48570,
80,48622,
81,48653,
82,48768,
83,48801,
84,48814,
85,48843,
86,48917,
87,48940,
88,48966,
89,49099,
90,49115,
91,49295,
92,49404,
93,49405,
94,49613,
95,50025,
96,50453,
97,50502,
98,50760,
99,50799,
100,51480,
===
generation : 5
r
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrr1,39514,
2,40679,
3,40709,
4,41459,
5,41474,
6,41515,
7,43057,
8,43116,
9,43117,
10,43192,
11,43208,
12,43230,
13,43275,
14,43346,
15,43387,
16,43453,
17,43572,
18,43617,
19,43617,
20,43620,
21,43626,
22,43640,
23,43708,
24,43764,
25,43780,
26,43789,
27,43791,
28,43798,
29,43803,
30,43916,
31,43923,
32,43932,
33,43948,
34,43976,
35,43987,
36,44089,
37,44110,
38,44116,
39,44141,
40,44166,
41,44205,
42,44210,
43,44232,
44,44249,
45,44263,
46,44367,
47,44431,
48,44433,
49,44447,
50,44454,
51,44468,
52,44507,
53,44569,
54,44573,
55,44584,
56,44625,
57,44647,
58,44677,
59,44744,
60,44753,
61,44759,
62,44795,
63,44817,
64,44824,
65,44840,
66,44957,
67,45015,
68,45015,
69,45026,
70,45267,
71,45358,
72,45527,
73,45631,
74,45778,
75,45838,
76,46153,
77,46256,
78,46365,
79,46386,
80,46689,
81,46754,
82,47654,
83,47679,
84,47835,
85,47906,
86,48080,
87,48645,
88,48689,
89,48863,
90,48985,
91,49022,
92,49203,
93,49359,
94,49386,
95,49527,
96,49758,
97,49878,
98,50605,
99,51225,
100,52433,
===
generation : 6
r
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrrr
rrrrrrrrrr
