1,39121,
2,40677,
3,41045,
4,41141,
5,41308,
6,41455,
7,41461,
8,41508,
9,41746,
10,41759,
11,41791,
12,41997,
13,42008,
14,42024,
15,42053,
16,42098,
17,42117,
18,42227,
19,42276,
20,42294,
21,42296,
22,42299,
23,42315,
24,42336,
25,42409,
26,42433,
27,42538,
28,42572,
29,42576,
30,42582,
31,42610,
32,42641,
33,42676,
34,42900,
35,42919,
36,42927,
37,42939,
38,42972,
39,42973,
40,43030,
41,43042,
42,43043,
43,43046,
44,43063,
45,43071,
46,43077,
47,43097,
48,43102,
49,43104,
50,43152,
51,43157,
52,44364,
53,46403,
54,46772,
55,46786,
56,46845,
57,46881,
58,47435,
59,47524,
60,47749,
61,47866,
62,47948,
63,48445,
64,48537,
65,48595,
66,48664,
67,48775,
68,48973,
69,49057,
70,49383,
71,49470,
72,49553,
73,49670,
74,49876,
75,50115,
76,50123,
77,50359,
78,50837,
79,51677,
80,51990,
81,52493,
82,52882,
83,60015,
84,60240,
85,60443,
86,61047,
87,61123,
88,61271,
89,61651,
90,61802,
91,61872,
92,61891,
93,62088,
94,62109,
95,62302,
96,62913,
97,62950,
98,63497,
99,63890,
100,64559,
